# START = date polling began
# END = date polling ended
# POLLSTER = polling organization
# N = sample size
# CON = Conservative percentage
# LAB = Labour percentage
# LD = Liberal Democrat percentage
# UKIP = UKIP percentage
# GREEN = Green percentage
# OTHER = percentage of other parties
START	END	POLLSTER	N	CON	LAB	LD	UKIP	GREEN	OTHER
"2015-05-05"	"2015-05-07"	"Populus"	3917	34	34	9	13	5	6
"2015-05-05"	"2015-05-06"	"Lord Ashcroft"	3028	33	33	10	11	6	8
"2015-05-05"	"2015-05-06"	"Ipsos-MORI"	1186	36	35	8	11	5	5
"2015-05-04"	"2015-05-06"	"YouGov"	10307	34	34	10	12	4	6
"2015-05-05"	"2015-05-06"	"ComRes"	1007	35	34	9	12	4	6
"2015-05-04"	"2015-05-06"	"Survation"	4088	31	31	10	16	5	7
"2015-05-03"	"2015-05-06"	"ICM"	2023	34	35	9	11	4	7
"2015-05-01"	"2015-05-06"	"Panelbase"	3019	31	33	8	16	5	7
"2015-05-04"	"2015-05-05"	"Opinium"	2960	35	34	8	12	6	5
"2015-05-04"	"2015-05-05"	"YouGov"	2148	34	34	9	12	5	6
"2015-05-04"	"2015-05-05"	"Survation"	1504	33	34	9	16	4	4
"2015-05-03"	"2015-05-05"	"ComRes"	1011	35	32	9	14	4	6
"2015-05-03"	"2015-05-05"	"BMG"	1009	34	34	10	12	4	6
"2015-05-03"	"2015-05-04"	"YouGov"	1664	33	33	10	12	5	6
"2015-04-30"	"2015-05-04"	"TNS"	1185	33	32	8	14	6	6
"2015-05-02"	"2015-05-03"	"YouGov"	1789	34	33	9	12	5	7
"2015-05-01"	"2015-05-03"	"Lord Ashcroft"	1001	32	30	11	12	7	9
"2015-05-01"	"2015-05-03"	"Populus"	2054	34	34	10	13	5	5
"2015-05-01"	"2015-05-02"	"YouGov"	1967	34	33	8	13	5	7
"2015-05-01"	"2015-05-02"	"Survation"	2128	31	34	8	17	4	6
"2015-04-30"	"2015-05-01"	"YouGov"	1575	33	34	8	14	5	5
"2015-04-30"	"2015-05-01"	"Survation"	1117	33	34	9	16	3	5
"2015-04-29"	"2015-04-30"	"YouGov"	1970	34	35	9	12	5	6
"2015-04-29"	"2015-04-30"	"Populus"	2016	33	33	9	15	4	5
"2015-04-29"	"2015-04-30"	"YouGov"	1729	34	35	8	12	5	6
"2015-04-29"	"2015-04-30"	"Panelbase"	1020	32	34	8	17	4	7
"2015-04-28"	"2015-04-30"	"ComRes"	1002	33	33	8	13	7	6
"2015-04-28"	"2015-04-30"	"Opinium"	1956	35	34	8	13	5	5
"2015-04-28"	"2015-04-29"	"YouGov"	1823	35	34	9	12	4	6
"2015-04-26"	"2015-04-29"	"Ipsos-MORI"	1010	35	30	8	10	8	9
"2015-04-27"	"2015-04-28"	"ComRes"	1005	35	35	7	11	6	6
"2015-04-27"	"2015-04-28"	"YouGov"	1749	34	35	9	12	4	6
"2015-04-26"	"2015-04-27"	"YouGov"	2127	35	34	9	12	5	6
"2015-04-25"	"2015-04-27"	"BMG"	1013	35	32	11	14	3	5
