# DAY = day on which poll ended
# POLLSTER = polling organization
# N = sample size
# CON = Conservative percentage
# LAB = Labour percentage
# LD = Liberal Democrat percentage
# UKIP = UKIP percentage
# GREEN = Green percentage
# OTHER = percentage of other parties
# Earliest polling date: 2014-12-01 00:00:00
# Pollster 1: "YouGov"
# Pollster 2: "Ipsos-MORI"
# Pollster 3: "Panelbase"
# Pollster 4: "BMG"
# Pollster 5: "Survation"
# Pollster 6: "ICM"
# Pollster 7: "TNS"
# Pollster 8: "Opinium"
# Pollster 9: "Populus"
# Pollster 10: "ComRes"
# Pollster 11: "Lord Ashcroft"
DAY	POLLSTER	N	CON	LAB	LD	UKIP	GREEN	OTHER
158	9	3917	34	34	9	13	5	6
157	11	3028	33	33	10	11	6	8
157	2	1186	36	35	8	11	5	5
157	1	10307	34	34	10	12	4	6
157	10	1007	35	34	9	12	4	6
157	5	4088	31	31	10	16	5	7
157	6	2023	34	35	9	11	4	7
157	3	3019	31	33	8	16	5	7
156	8	2960	35	34	8	12	6	5
156	1	2148	34	34	9	12	5	6
156	5	1504	33	34	9	16	4	4
156	10	1011	35	32	9	14	4	6
156	4	1009	34	34	10	12	4	6
155	1	1664	33	33	10	12	5	6
155	7	1185	33	32	8	14	6	6
154	1	1789	34	33	9	12	5	7
154	11	1001	32	30	11	12	7	9
154	9	2054	34	34	10	13	5	5
153	1	1967	34	33	8	13	5	7
153	5	2128	31	34	8	17	4	6
152	1	1575	33	34	8	14	5	5
152	5	1117	33	34	9	16	3	5
151	1	1970	34	35	9	12	5	6
151	9	2016	33	33	9	15	4	5
151	1	1729	34	35	8	12	5	6
151	3	1020	32	34	8	17	4	7
151	10	1002	33	33	8	13	7	6
151	8	1956	35	34	8	13	5	5
150	1	1823	35	34	9	12	4	6
150	2	1010	35	30	8	10	8	9
149	10	1005	35	35	7	11	6	6
149	1	1749	34	35	9	12	4	6
148	1	2127	35	34	9	12	5	6
148	4	1013	35	32	11	14	3	5
148	7	1186	34	33	7	15	5	5
147	1	2096	33	34	8	14	5	6
147	11	1003	36	30	9	11	7	7
147	6	1004	35	32	9	13	5	6
147	9	2072	33	36	8	14	5	4
146	1	2271	32	34	9	14	6	5
146	5	1004	33	30	9	18	4	6
145	1	1594	33	35	8	13	6	5
145	8	1964	34	33	9	13	6	5
144	9	2051	32	35	8	14	5	6
144	1	1834	33	35	8	13	6	6
144	5	1205	33	29	10	18	4	6
144	3	1012	31	34	7	17	4	7
143	10	1003	36	32	8	10	5	9
143	1	2060	33	34	7	14	5	6
142	1	1799	35	34	7	13	5	6
141	1	2078	34	35	7	13	5	6
141	7	1199	32	34	8	15	5	6
140	1	1675	34	35	8	13	5	6
140	11	1002	34	30	10	13	4	9
140	9	2048	32	34	9	15	4	6
140	6	1003	34	32	10	11	5	8
139	1	1780	33	36	8	13	5	5
138	8	1955	36	32	8	13	5	6
138	1	1713	34	34	9	14	5	5
138	5	1314	34	33	7	17	3	6
137	9	2048	33	34	9	14	4	5
137	1	1939	34	34	7	14	5	6
137	3	1025	33	34	8	16	4	5
136	1	1894	34	35	8	13	5	6
136	2	1000	33	35	7	10	8	7
135	1	1842	33	35	8	13	5	6
134	1	2444	33	34	8	13	6	5
134	7	1192	34	32	9	14	5	6
133	1	1717	33	36	7	13	5	6
133	11	1003	33	33	9	13	6	8
133	6	1042	39	33	8	7	7	5
133	9	2036	33	33	8	15	5	6
132	1	1887	34	34	7	13	6	6
131	1	1782	33	35	8	13	5	5
130	8	1916	36	34	7	11	6	6
130	9	2020	31	33	8	16	6	7
130	1	1938	35	34	8	12	4	6
130	5	1111	31	35	9	15	4	6
130	3	1013	31	37	8	16	4	4
129	10	1013	34	33	12	12	4	6
129	1	1871	34	35	8	13	5	5
128	1	1672	33	35	8	14	5	5
128	7	1207	30	33	8	19	4	7
127	9	2008	31	33	10	15	4	7
125	1	1906	34	33	10	13	4	6
124	8	1974	33	33	7	14	7	5
124	5	1207	31	33	9	18	3	6
123	1	1583	37	35	7	12	5	4
123	3	1006	33	33	7	17	5	5
122	9	2057	32	34	9	15	5	5
122	1	1678	36	34	8	13	4	5
121	1	1566	35	36	7	12	5	5
120	1	2001	35	35	8	12	5	5
120	7	1197	33	32	8	16	5	7
119	10	1005	36	32	9	12	5	7
119	9	2004	34	34	8	15	4	5
119	11	1004	36	34	6	10	7	6
118	1	1799	32	36	8	13	6	5
116	9	2049	31	33	9	16	5	6
116	1	1698	36	34	7	13	5	5
116	3	1007	34	34	5	15	6	6
115	1	1610	34	35	8	12	6	5
115	5	1007	32	33	8	18	4	5
114	1	2006	35	35	8	12	6	4
113	1	1641	34	34	8	12	6	5
112	11	1003	33	33	8	12	5	9
112	9	2035	31	33	9	16	5	5
111	5	1008	30	34	10	17	3	6
110	1	1532	33	35	8	14	5	5
109	8	1979	36	33	7	14	6	4
109	9	2020	31	34	9	17	5	4
109	1	2293	35	33	8	13	6	5
108	1	1752	33	34	8	14	6	5
107	1	1830	34	36	7	12	6	5
106	1	1683	33	35	7	13	7	4
106	7	1188	33	32	7	17	4	7
105	11	1002	31	29	8	15	8	9
105	6	1001	36	35	8	9	4	8
105	9	2041	34	34	8	15	5	5
103	1	1669	34	34	7	14	5	6
103	10	2002	33	35	7	16	4	5
102	9	2041	29	32	8	18	6	7
102	1	1619	33	32	7	16	6	6
102	8	1947	33	35	7	14	7	5
101	1	1728	34	35	7	14	5	5
101	2	1025	33	34	8	13	6	6
100	1	1598	33	31	8	15	6	6
99	1	1745	35	31	8	14	6	6
98	11	1003	34	30	5	15	8	7
98	9	2026	32	33	9	15	6	6
96	1	1754	34	33	8	15	5	5
96	8	1961	34	34	8	14	7	5
95	9	2063	31	33	8	16	5	5
95	1	1748	31	35	6	15	8	4
94	1	1544	34	34	8	14	6	4
93	1	1701	36	34	5	14	6	5
92	1	1866	35	32	7	15	6	5
91	11	1003	34	31	7	14	7	8
91	9	2056	32	34	8	14	5	7
89	1	1959	34	34	8	14	5	5
89	9	2005	31	33	9	16	6	5
88	1	1638	33	34	8	13	6	6
88	8	1948	34	35	6	14	6	6
87	1	1581	33	33	8	15	6	5
86	1	1520	35	33	6	14	7	5
85	5	1046	28	34	10	19	4	5
85	1	1772	33	33	8	13	7	5
85	10	1004	34	32	8	13	8	6
84	11	1004	32	36	7	11	8	6
84	9	2059	32	32	9	15	6	6
82	1	1568	33	34	8	13	6	6
82	8	1975	35	33	6	15	7	5
81	9	2011	31	32	9	17	6	5
81	1	1564	32	33	9	15	6	5
80	1	1743	32	34	8	14	6	5
79	1	1548	33	34	6	15	7	5
78	1	1580	32	32	6	16	8	5
77	11	1004	30	31	9	16	8	6
77	9	2012	31	33	10	15	5	5
77	6	1000	36	32	10	9	7	7
75	1	1620	32	35	7	15	7	5
74	10	2017	32	34	7	16	4	7
74	9	2055	31	34	9	14	6	6
74	1	1592	31	34	7	15	7	6
74	8	1969	33	35	8	14	6	6
73	1	1764	32	33	7	15	7	5
72	1	1677	33	35	6	13	8	5
71	1	1552	34	33	7	14	7	6
70	11	1003	34	31	9	14	6	6
70	9	2003	33	34	8	15	4	4
68	1	1668	32	33	7	15	8	5
68	8	1947	32	34	7	15	8	4
67	9	2056	31	34	8	16	5	6
67	1	1719	32	33	9	15	5	5
66	1	1749	34	33	6	13	7	7
65	1	1705	33	33	7	14	7	5
64	1	1630	33	35	7	14	6	5
64	9	2040	31	34	8	14	5	6
63	11	1002	31	31	8	15	9	6
61	1	1550	32	35	7	15	6	5
61	8	1975	32	33	5	18	6	6
60	9	2020	34	35	10	14	4	3
60	1	1593	34	34	6	14	7	5
59	1	1548	33	33	6	15	7	6
58	1	1655	34	33	7	14	7	5
57	1	1656	34	33	6	15	7	5
56	5	1014	31	30	7	23	3	6
56	10	1001	31	30	8	17	7	7
56	9	2039	34	35	9	13	6	3
56	11	1001	32	32	6	15	9	6
54	1	1578	32	32	7	15	7	6
53	9	2049	32	36	9	13	6	4
53	1	1640	31	33	7	17	8	4
52	1	1645	33	34	6	14	8	5
51	1	1570	32	30	8	15	10	5
50	1	1747	32	32	8	15	7	6
50	6	1002	30	33	11	11	9	7
50	7	1188	31	31	8	16	7	7
49	11	1004	29	28	9	15	11	8
49	9	2036	35	36	8	13	4	4
47	1	1647	31	32	7	18	7	4
46	1	1763	31	33	7	16	7	6
46	10	2023	33	34	7	18	3	5
46	9	2070	32	35	9	14	6	4
46	1	1660	32	32	6	16	8	6
46	8	1966	28	33	7	20	6	6
45	1	1834	32	34	6	15	7	6
44	1	1782	32	33	7	14	7	6
44	2	1010	33	34	8	11	8	6
43	1	1649	32	33	6	17	6	6
42	11	1002	34	28	8	16	8	6
42	9	2056	32	37	10	13	4	4
40	1	1684	32	32	7	18	6	5
39	9	2046	33	34	8	14	6	5
39	1	1753	33	33	8	13	7	6
39	7	1201	28	35	6	18	5	8
38	1	1707	32	33	7	15	7	6
37	1	1769	33	33	7	13	8	5
36	1	1728	31	34	7	14	8	6
35	9	2046	34	36	9	12	5	5
33	8	1970	32	33	8	17	4	7
23	8	2003	29	33	6	19	6	7
22	1	1642	32	36	6	16	5	5
21	9	2051	35	35	9	12	4	5
19	5	1009	30	33	10	21	3	3
19	1	2109	32	34	6	15	8	5
19	8	1427	29	36	6	16	5	8
18	9	2069	34	35	9	13	4	4
18	1	1981	30	35	6	16	8	4
17	1	2087	33	33	8	14	7	5
16	1	2021	33	34	6	16	6	5
16	6	1001	28	33	14	14	5	6
15	1	1648	32	34	6	14	8	6
15	2	1012	32	29	9	13	9	8
15	7	1180	28	35	5	19	7	6
14	10	1002	29	32	12	16	5	6
14	9	2074	34	36	10	12	5	4
12	1	1941	32	32	7	16	7	5
12	10	2014	33	34	8	18	2	5
11	9	1140	34	35	9	14	4	3
11	1	2088	32	34	7	14	7	6
10	1	1983	33	33	6	15	7	5
9	1	1959	32	32	8	15	7	5
8	1	1925	34	33	6	15	6	6
7	11	1001	30	31	8	19	5	7
7	9	1323	33	36	8	15	4	4
5	1	1838	32	32	6	17	7	7
4	8	1940	29	34	6	19	6	6
4	9	1271	33	35	9	14	4	5
4	1	1663	31	32	7	15	8	6
3	1	1925	32	31	6	17	7	6
2	1	1912	32	33	7	16	7	5
1	1	1763	32	32	8	15	6	6
