# DATE = date model was fitted
# ID = model number
# PART = party
# PER = fitted voting intention percentage as of `DATE`, from Stan's alphas
# SE = standard error for `PER`
DATE	ID	PART	PER	SE
"2015-03-06"	7	"CON"	36.64	0.3134
"2015-03-06"	7	"LAB"	37.23	0.3188
"2015-03-06"	7	"LD"	6.8	0.05626
"2015-03-06"	7	"UKIP"	12.09	0.1035
"2015-03-06"	7	"GREEN"	2.549	0.02873
"2015-03-06"	7	"OTHER"	4.695	0.03899
"2015-03-06"	6	"CON"	36.42	0.2856
"2015-03-06"	6	"LAB"	36.87	0.2877
"2015-03-06"	6	"LD"	6.751	0.05292
"2015-03-06"	6	"UKIP"	11.99	0.1009
"2015-03-06"	6	"GREEN"	3.203	0.02965
"2015-03-06"	6	"OTHER"	4.773	0.03749
"2015-03-06"	5	"CON"	35.3	0.2487
"2015-03-06"	5	"LAB"	35.97	0.2537
"2015-03-06"	5	"LD"	6.889	0.0496
"2015-03-06"	5	"UKIP"	12.54	0.09075
"2015-03-06"	5	"GREEN"	4.284	0.03098
"2015-03-06"	5	"OTHER"	5.019	0.03637
"2015-03-06"	4	"CON"	34.54	0.2702
"2015-03-06"	4	"LAB"	35.87	0.282
"2015-03-06"	4	"LD"	7.104	0.05676
"2015-03-06"	4	"UKIP"	13.09	0.1061
"2015-03-06"	4	"GREEN"	4.311	0.03573
"2015-03-06"	4	"OTHER"	5.083	0.04077
"2015-03-06"	3	"CON"	34.49	0.2786
"2015-03-06"	3	"LAB"	35.77	0.2875
"2015-03-06"	3	"LD"	7.129	0.05769
"2015-03-06"	3	"UKIP"	13.15	0.1089
"2015-03-06"	3	"GREEN"	4.333	0.03585
"2015-03-06"	3	"OTHER"	5.12	0.04159
"2015-03-06"	2	"CON"	31.66	0.1059
"2015-03-06"	2	"LAB"	32.99	0.1106
"2015-03-06"	2	"LD"	8.084	0.02782
"2015-03-06"	2	"UKIP"	15.33	0.05144
"2015-03-06"	2	"GREEN"	5.984	0.02051
"2015-03-06"	2	"OTHER"	5.948	0.02082
"2015-03-10"	7	"CON"	36.97	0.2522
"2015-03-10"	7	"LAB"	36.14	0.2469
"2015-03-10"	7	"LD"	7.206	0.04929
"2015-03-10"	7	"UKIP"	11.64	0.0862
"2015-03-10"	7	"GREEN"	2.65	0.02653
"2015-03-10"	7	"OTHER"	5.408	0.03785
"2015-03-10"	6	"CON"	36.9	0.306
"2015-03-10"	6	"LAB"	35.91	0.2978
"2015-03-10"	6	"LD"	7.186	0.0592
"2015-03-10"	6	"UKIP"	11.42	0.1006
"2015-03-10"	6	"GREEN"	3.081	0.0293
"2015-03-10"	6	"OTHER"	5.507	0.04612
"2015-03-10"	5	"CON"	35.72	0.2518
"2015-03-10"	5	"LAB"	35.22	0.248
"2015-03-10"	5	"LD"	7.102	0.05132
"2015-03-10"	5	"UKIP"	12.43	0.09206
"2015-03-10"	5	"GREEN"	4.319	0.03212
"2015-03-10"	5	"OTHER"	5.213	0.03772
"2015-03-10"	4	"CON"	34.55	0.2902
"2015-03-10"	4	"LAB"	35.58	0.3003
"2015-03-10"	4	"LD"	7.212	0.06166
"2015-03-10"	4	"UKIP"	13.14	0.1134
"2015-03-10"	4	"GREEN"	4.315	0.03738
"2015-03-10"	4	"OTHER"	5.206	0.04348
"2015-03-10"	3	"CON"	34.45	0.2629
"2015-03-10"	3	"LAB"	35.48	0.2702
"2015-03-10"	3	"LD"	7.243	0.05601
"2015-03-10"	3	"UKIP"	13.21	0.1028
"2015-03-10"	3	"GREEN"	4.349	0.03406
"2015-03-10"	3	"OTHER"	5.267	0.04119
"2015-03-10"	2	"CON"	31.57	0.1045
"2015-03-10"	2	"LAB"	33.2	0.1146
"2015-03-10"	2	"LD"	8.054	0.02714
"2015-03-10"	2	"UKIP"	15.27	0.05007
"2015-03-10"	2	"GREEN"	5.975	0.02005
"2015-03-10"	2	"OTHER"	5.93	0.01958
"2015-03-11"	7	"CON"	37.13	0.2922
"2015-03-11"	7	"LAB"	35.99	0.281
"2015-03-11"	7	"LD"	7.377	0.05627
"2015-03-11"	7	"UKIP"	11.51	0.09389
"2015-03-11"	7	"GREEN"	2.509	0.02619
"2015-03-11"	7	"OTHER"	5.488	0.04253
"2015-03-11"	6	"CON"	37.01	0.2939
"2015-03-11"	6	"LAB"	35.74	0.2832
"2015-03-11"	6	"LD"	7.326	0.0589
"2015-03-11"	6	"UKIP"	11.53	0.09875
"2015-03-11"	6	"GREEN"	2.834	0.02646
"2015-03-11"	6	"OTHER"	5.562	0.04515
"2015-03-11"	5	"CON"	35.74	0.2519
"2015-03-11"	5	"LAB"	35.07	0.2474
"2015-03-11"	5	"LD"	7.196	0.05294
"2015-03-11"	5	"UKIP"	12.5	0.0919
"2015-03-11"	5	"GREEN"	4.274	0.03223
"2015-03-11"	5	"OTHER"	5.213	0.03758
"2015-03-11"	4	"CON"	34.52	0.283
"2015-03-11"	4	"LAB"	35.61	0.2931
"2015-03-11"	4	"LD"	7.201	0.05959
"2015-03-11"	4	"UKIP"	13.13	0.1106
"2015-03-11"	4	"GREEN"	4.344	0.03706
"2015-03-11"	4	"OTHER"	5.203	0.04345
"2015-03-11"	3	"CON"	34.49	0.2807
"2015-03-11"	3	"LAB"	35.6	0.2885
"2015-03-11"	3	"LD"	7.206	0.05902
"2015-03-11"	3	"UKIP"	13.18	0.1072
"2015-03-11"	3	"GREEN"	4.345	0.03701
"2015-03-11"	3	"OTHER"	5.17	0.04173
"2015-03-11"	2	"CON"	31.59	0.1032
"2015-03-11"	2	"LAB"	33.18	0.1117
"2015-03-11"	2	"LD"	8.08	0.0271
"2015-03-11"	2	"UKIP"	15.26	0.05197
"2015-03-11"	2	"GREEN"	5.964	0.02014
"2015-03-11"	2	"OTHER"	5.931	0.01983
"2015-03-12"	7	"CON"	37.1	0.2868
"2015-03-12"	7	"LAB"	36.71	0.2845
"2015-03-12"	7	"LD"	7.322	0.05611
"2015-03-12"	7	"UKIP"	11.64	0.09292
"2015-03-12"	7	"GREEN"	2.165	0.02232
"2015-03-12"	7	"OTHER"	5.064	0.03928
"2015-03-12"	6	"CON"	36.85	0.2802
"2015-03-12"	6	"LAB"	36.42	0.278
"2015-03-12"	6	"LD"	7.331	0.05657
"2015-03-12"	6	"UKIP"	11.64	0.09453
"2015-03-12"	6	"GREEN"	2.601	0.02301
"2015-03-12"	6	"OTHER"	5.159	0.04021
"2015-03-12"	5	"CON"	35.63	0.25
"2015-03-12"	5	"LAB"	35.54	0.2517
"2015-03-12"	5	"LD"	7.152	0.05178
"2015-03-12"	5	"UKIP"	12.5	0.09128
"2015-03-12"	5	"GREEN"	4.041	0.03029
"2015-03-12"	5	"OTHER"	5.139	0.03695
"2015-03-12"	4	"CON"	34.5	0.26
"2015-03-12"	4	"LAB"	35.69	0.2686
"2015-03-12"	4	"LD"	7.21	0.05493
"2015-03-12"	4	"UKIP"	13.1	0.1011
"2015-03-12"	4	"GREEN"	4.35	0.03331
"2015-03-12"	4	"OTHER"	5.156	0.03891
"2015-03-12"	3	"CON"	34.41	0.2565
"2015-03-12"	3	"LAB"	35.54	0.2659
"2015-03-12"	3	"LD"	7.245	0.05479
"2015-03-12"	3	"UKIP"	13.15	0.1012
"2015-03-12"	3	"GREEN"	4.384	0.03465
"2015-03-12"	3	"OTHER"	5.274	0.04058
"2015-03-12"	2	"CON"	31.55	0.1063
"2015-03-12"	2	"LAB"	33.13	0.11
"2015-03-12"	2	"LD"	8.054	0.02709
"2015-03-12"	2	"UKIP"	15.41	0.05211
"2015-03-12"	2	"GREEN"	5.936	0.01965
"2015-03-12"	2	"OTHER"	5.921	0.01926
"2015-03-13"	7	"CON"	35.77	0.2945
"2015-03-13"	7	"LAB"	35.73	0.2956
"2015-03-13"	7	"LD"	7.035	0.05602
"2015-03-13"	7	"UKIP"	12.96	0.1102
"2015-03-13"	7	"GREEN"	2.508	0.02678
"2015-03-13"	7	"OTHER"	6.009	0.0491
"2015-03-13"	6	"CON"	35.53	0.2624
"2015-03-13"	6	"LAB"	35.29	0.2584
"2015-03-13"	6	"LD"	7.028	0.05232
"2015-03-13"	6	"UKIP"	13.06	0.1027
"2015-03-13"	6	"GREEN"	3.031	0.0259
"2015-03-13"	6	"OTHER"	6.069	0.04568
"2015-03-13"	5	"CON"	35.03	0.2451
"2015-03-13"	5	"LAB"	35.21	0.2473
"2015-03-13"	5	"LD"	7.093	0.05109
"2015-03-13"	5	"UKIP"	13.05	0.09492
"2015-03-13"	5	"GREEN"	4.202	0.03062
"2015-03-13"	5	"OTHER"	5.424	0.03895
"2015-03-13"	4	"CON"	34.35	0.2718
"2015-03-13"	4	"LAB"	35.52	0.2821
"2015-03-13"	4	"LD"	7.229	0.05777
"2015-03-13"	4	"UKIP"	13.2	0.1081
"2015-03-13"	4	"GREEN"	4.385	0.03563
"2015-03-13"	4	"OTHER"	5.316	0.04269
"2015-03-13"	3	"CON"	34.38	0.2837
"2015-03-13"	3	"LAB"	35.6	0.2927
"2015-03-13"	3	"LD"	7.197	0.05955
"2015-03-13"	3	"UKIP"	13.16	0.1131
"2015-03-13"	3	"GREEN"	4.417	0.0386
"2015-03-13"	3	"OTHER"	5.247	0.0435
"2015-03-13"	2	"CON"	31.66	0.104
"2015-03-13"	2	"LAB"	33.03	0.1102
"2015-03-13"	2	"LD"	8.054	0.02661
"2015-03-13"	2	"UKIP"	15.38	0.05142
"2015-03-13"	2	"GREEN"	5.919	0.01983
"2015-03-13"	2	"OTHER"	5.948	0.01963
"2015-03-14"	7	"CON"	36.17	0.2755
"2015-03-14"	7	"LAB"	36.52	0.2804
"2015-03-14"	7	"LD"	7.055	0.05363
"2015-03-14"	7	"UKIP"	12.23	0.09933
